timestamp,pubkey,score,latency,sync_diff,success_rate
2026-04-05 01:13:45,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,92.59,120,0,100.0
2026-04-05 01:13:30,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,86.17,122,1,100.0
2026-04-05 01:13:19,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,91.45,143,0,100.0
2026-04-05 01:13:08,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,92.3,108,0,100.0
2026-04-05 01:12:56,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,85.51,146,1,100.0
2026-04-05 01:12:45,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,85.24,137,1,100.0
2026-04-05 01:12:34,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,93.47,102,0,100.0
2026-04-05 01:12:23,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,84.97,139,1,100.0
2026-04-05 01:12:12,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,91.47,144,0,100.0
2026-04-05 01:12:01,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,84.97,139,1,100.0
2026-04-05 01:11:49,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,92.62,119,0,100.0
2026-04-05 01:11:31,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,91.67,146,0,100.0
2026-04-05 01:11:17,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,92.11,113,0,100.0
2026-04-05 01:11:00,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,86.18,110,1,100.0
2026-04-05 01:10:46,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,92.11,113,0,100.0
